customer_id,customer_name,city,state
CUST010001,Sandeep Kumar,Vadodara,Gujarat
CUST010002,Priya Kulkarni,Rajkot,Gujarat
CUST010003,Nisha Nair,Mumbai,Maharashtra
CUST010004,Rohan Singh,Visakhapatnam,Andhra Pradesh
CUST010005,Shweta Kumar,Bhopal,Madhya Pradesh
CUST010006,Swati Kulkarni,Patna,Bihar
CUST010007,Vidya Menon,Dhanbad,Jharkhand
CUST010008,Ananya Saxena,Visakhapatnam,Andhra Pradesh
CUST010009,Sakshi Verma,Ghaziabad,Uttar Pradesh
CUST010010,Priya Patel,Meerut,Uttar Pradesh
CUST010011,Ishita Nair,Kanpur,Uttar Pradesh
CUST010012,Naveen Pillai,Thane,Maharashtra
CUST010013,Priya Menon,Nagpur,Maharashtra
CUST010014,Aditya Shetty,Varanasi,Uttar Pradesh
CUST010015,Vani Shetty,Lucknow,Uttar Pradesh
CUST010016,Harsh Iyer,Lucknow,Uttar Pradesh
CUST010017,Rohan Malhotra,Kolkata,West Bengal
CUST010018,Pallavi Gupta,Delhi,Delhi
CUST010019,Sonal Banerjee,Faridabad,Haryana
CUST010020,Rajesh Pandey,Amritsar,Punjab
CUST010021,Sonal Reddy,Ludhiana,Punjab
CUST010022,Ashish Iyer,Meerut,Uttar Pradesh
CUST010023,Anjali Gupta,Lucknow,Uttar Pradesh
CUST010024,Divya Krishnan,Meerut,Uttar Pradesh
CUST010025,Dinesh Joshi,Varanasi,Uttar Pradesh
CUST010026,Arjun Patel,Ghaziabad,Uttar Pradesh
CUST010027,Aakash Kumar,Jaipur,Rajasthan
CUST010028,Varun Banerjee,Delhi,Delhi
CUST010029,Varun Pillai,Agra,Uttar Pradesh
CUST010030,Karan Mishra,Visakhapatnam,Andhra Pradesh
CUST010031,Amit Kulkarni,Ghaziabad,Uttar Pradesh
CUST010032,Tanvi Menon,Kolkata,West Bengal
CUST010033,Kavya Mukherjee,Ghaziabad,Uttar Pradesh
CUST010034,Aakash Patel,Delhi,Delhi
CUST010035,Kritika Agarwal,Nashik,Maharashtra
CUST010036,Khushi Kapoor,Lucknow,Uttar Pradesh
CUST010037,Aditi Das,Varanasi,Uttar Pradesh
CUST010038,Tanya Mehta,Meerut,Uttar Pradesh
CUST010039,Mohit Krishnan,Ludhiana,Punjab
CUST010040,Ritika Patel,Mumbai,Maharashtra
CUST010041,Amit Bhat,Lucknow,Uttar Pradesh
CUST010042,Rohan Pandey,Visakhapatnam,Andhra Pradesh
CUST010043,Vishal Patel,Bangalore,Karnataka
CUST010044,Vikas Nair,Chennai,Tamil Nadu
CUST010045,Tanya Kumar,Patna,Bihar
CUST010046,Aakash Gupta,Bangalore,Karnataka
CUST010047,Tanvi Kapoor,Aurangabad,Maharashtra
CUST010048,Khushi Mehta,Varanasi,Uttar Pradesh
CUST010049,Sanjay Mehta,Jaipur,Rajasthan
CUST010050,Varun Krishnan,Jaipur,Rajasthan
CUST010051,Ravi Gupta,Chennai,Tamil Nadu
CUST010052,Ashish Mukherjee,Ludhiana,Punjab
CUST010053,Swati Kapoor,Jaipur,Rajasthan
CUST010054,Vikram Pillai,Jaipur,Rajasthan
CUST010055,Sandeep Reddy,Aurangabad,Maharashtra
CUST010056,Harsh Kulkarni,Jaipur,Rajasthan
CUST010057,Meera Reddy,Mumbai,Maharashtra
CUST010058,Tanvi Desai,Meerut,Uttar Pradesh
CUST010059,Nisha Mukherjee,Hyderabad,Telangana
CUST010060,Sandeep Shetty,Ludhiana,Punjab
CUST010061,Kritika Nair,Kolkata,West Bengal
CUST010062,Swati Joshi,Amritsar,Punjab
CUST010063,Khushi Pandey,Ghaziabad,Uttar Pradesh
CUST010064,Preeti Verma,Meerut,Uttar Pradesh
CUST010065,Rohan Choudhury,Chennai,Tamil Nadu
CUST010066,Amit Mishra,Nashik,Maharashtra
CUST010067,Nikhil Desai,Bhopal,Madhya Pradesh
CUST010068,Nisha Patel,Nagpur,Maharashtra
